Project Name,Google Search Spent,Google Search Lead,Google Search CPL,Google Discovery Spent,Google Discovery Lead,Google Discovery CPL,Google Total Spent,Google Total Lead,Google Total CPL,Facebook Spent,Facebook Leads,Facebook CPL,Taboola Ads Spent,Taboola Ads Lead,Taboola Ads CPL,TOTAL Spent,TOTAL Leads,TOTAL CPL
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Arvind Bannerghatta,202144.57,66.0,3063.0,112164.59,120.0,935.0,314309.16000000003,186.0,1690.0,43330.87,125.0,347.0,92328.33000000002,136.0,679.0,449968.36,447.0,1007.0
Arvind Forest Trails,13680.61,5.0,2736.0,20000.59,19.0,1053.0,33681.2,24.0,1403.0,,,,,,,33681.2,24.0,1403.0
Arvind ITPL,,0.0,,0.0,,,,,,36538.21,90.0,406.0,,,,36538.21,90.0,406.0
Arvind Orchards,,0.0,,0.0,,,,,,13290.22,27.0,492.0,,,,13290.22,27.0,492.0
Assetz Altitude/Meru & Meadow,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
Assetz Canvas & Cove,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
Birla Evara Sarjapur,249013.81999999998,63.0,3953.0,54220.42,29.0,1870.0,303234.23999999993,92.0,3296.0,133084.22,104.0,1280.0,22705.929999999993,1.0,22706.0,459024.38999999996,197.0,2330.0
Birla Ojasvi RR Nagar ,7006.55,6.0,1168.0,22030.8,27.0,816.0,29037.35,33.0,880.0,16985.63,87.0,195.0,,,,46022.979999999996,120.0,384.0
Birla Trimaya,86842.34999999999,36.0,2412.0,148685.39,151.0,985.0,235527.73999999996,187.0,1260.0,24562.47,52.0,472.0,100970.26999999999,94.0,1074.0,361060.48000000004,333.0,1084.0
Brigade Avalon,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
Brigade Budigere,,0.0,,0.0,,,,,,23534.61,106.0,222.0,,,,23534.61,106.0,222.0
Brigade Cherry Blossom Malur,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
Brigade Citrine,9462.4,0.0,,0.0,2.0,0.0,9462.4,2.0,4731.0,,,,5240.17,1.0,5240.0,14702.57,3.0,4901.0
Brigade Eternia Yelahanka,46213.81,7.0,6602.0,85746.15000000001,90.0,953.0,131959.96000000002,97.0,1360.0,62609.619999999995,48.0,1304.0,15437.489999999998,4.0,3859.0,210007.06999999998,149.0,1409.0
Brigade Insignia,97433.62000000001,13.0,7495.0,0.0,0.0,,97433.62000000001,13.0,7495.0,39924.880000000005,174.0,229.0,27133.85,24.0,1131.0,164492.34999999998,211.0,780.0
Brigade Lakecrest,288714.67,58.0,4978.0,19510.880000000005,15.0,1301.0,308225.55000000005,73.0,4222.0,63620.31,162.0,393.0,17932.36,3.0,5977.0,389778.2199999999,238.0,1638.0
Brigade Orchards,168772.66999999998,20.0,8439.0,17114.17,9.0,1902.0,185886.84,29.0,6410.0,40934.18,100.0,409.0,8585.44,9.0,954.0,235406.46,138.0,1706.0
Brigade Platter,614289.7,191.0,3216.0,0.0,0.0,,614289.7,191.0,3216.0,,,,,,,614289.7,191.0,3216.0
